"","chungcheong","seoul"
"833","그래서 내가 봤을 때는 스마트폰 사용을 최대한 줄여야 된다고 생각하고","그래서 내가 봤을 때는 스마트폰 사용을 최대한 줄여야 된다고 생각하고"
"834","우리가 진짜 건강하게 핸드폰을 사용해야 한다고 생각하는 생각해.","우리가 진짜 건강하게 핸드폰을 사용해야 한다고 생각하는 생각해."
"835","그래서 지금 우리가 하루종일 붙잡고 있는 핸드폰을 최대한 덜 봐야지 우리 눈에 좋지 않을까 라는 생각이 들어.","그래서 지금 우리가 하루종일 붙잡고 있는 핸드폰을 최대한 덜 봐야지 우리 눈에 좋지 않을까 라는 생각이 들어."
"836","왜냐면은 우리 눈이 나빠진 결정적인 원인이 핸드폰이잖아 늦은 밤에 불 꺼놓고 핸드폰 보는 게","왜냐하면은 우리 눈이 나빠진 결정적인 원인이 핸드폰이잖아 늦은 밤에 불 꺼놓고 핸드폰 보는 게"
"837","그래서 어띃게든 핸드폰을 줄여야 한다고 생각 혀.","그래서 어떻게든 핸드폰을 줄여야 한다고 생각 해."
"838","그래서 난 빨리 눈을 눈에 눈이 진짜 한 번 읽으면 끝이잖어 수술을 하지 않는 이상","그래서 난 빨리 눈을 눈에 눈이 진짜 한 번 읽으면 끝이잖어 수술을 하지 않는 이상"
"839","((그서)) 난 눈에 대한 좋은 약물 치료가 생겼으면 좋겠다는 생각을 혀.","((그서)) 난 눈에 대한 좋은 약물 치료가 생겼으면 좋겠다는 생각을 해."
"840","아~ 그려?","아~ 그래?"
"841","내가 요즘 시력이 나빠진 거 외에도 아~ 눈이 너무 건조하다고 생각을 했는데","내가 요즘 시력이 나빠진 거 외에도 아~ 눈이 너무 건조하다고 생각을 했는데"
"842","블루라이트가 그렇게 눈에 거 눈에 안구 건조증까지 영향을 미친다는 걸 듣고 쫌 놀랐어.","블루라이트가 그렇게 눈에 거 눈에 안구 건조증까지 영향을 미친다는 걸 듣고 조금 놀랐어."
"843","어~ 나는 어~ 어저께도 밤에 (()) 폰을 하느라 눈이 아파 가주구","어~ 나는 어~ 어저께도 밤에 (()) 폰을 하느라 눈이 아파 가지고"
"844","((그르)) 폰을 계속 하다보면은 잠이 안 와 가주구 계속 밤을 새게 되는 경우가 있었는디","((그르)) 폰을 계속 하다보면은 잠이 안 와 가지고 계속 밤을 새게 되는 경우가 있었는데"
"845","아~ 그게 블루라이트 때문이었으니까","아~ 그게 블루라이트 때문이었으니까"
"846","이제는 밤 자기 전 한 시간에 핸드폰을 하지 말라는 이유를 쫌 깨닫게 된 거 같어.","이제는 밤 자기 전 한 시간에 핸드폰을 하지 말라는 이유를 조금 깨닫게 된 거 같아."
"847","음~ 나는 여태까지 다이어트를 하면서 쫌 안 좋은 다이어트도 있었지만은","음~ 나는 여태까지 다이어트를 하면서 조금 안 좋은 다이어트도 있었지만은"
"848","((내가자)) 가장 효과 본 다이어트는","((내가자)) 가장 효과 본 다이어트는"
"849","어~ 공복 유산소라는 운동(인디)/(인데)","어~ 공복 유산소라는 운동(인디)/(인데)"
"850","그게 공복에 유산소를 하면은 가장 살이 잘 빠진다는 거여.","그게 공복에 유산소를 하면은 가장 살이 잘 빠진다는 거야."
"851","근데 그게 공복에 하는 거라서 힘이 쫌 딸려 가주구 쫌 힘들 수는 있는디","근데 그게 공복에 하는 거라서 힘이 조금 딸려 가지고 조금 힘들 수는 있는데"
"852","어~ 급진급빠라고 하잖어?","어~ 급진급빠라고 하잖어?"
"853","그~ 급하게 찐 살은 급하게 빼야지 잘 빠진다는 그런 말이 있듯이","그~ 급하게 찐 살은 급하게 빼야지 잘 빠진다는 그런 말이 있듯이"
"854","공복 유산소를 하면 진짜 살이 잘 빠져 가주구 내일부터 하려고 하고 있거든","공복 유산소를 하면 진짜 살이 잘 빠져 가지고 내일부터 하려고 하고 있거든"
"855","근데 그게 인제 아침에 하는 거라서 쫌 힘들긴 한디 음~","근데 그게 인제 아침에 하는 거라서 조금 힘들긴 한데 음~"
"856","공복에 유산소를 하면은 진짜 빠르게 빠진다는 게 있어 가주구","공복에 유산소를 하면은 진짜 빠르게 빠진다는 게 있어 가지고"
"857","쫌 해보려구 하는 거 같어.","조금 해보려구 하는 거 같아."
"858","내가 작년에 그~ 공복 유산소를 해본 적이 있는데 아침에 일어나 가주구","내가 작년에 그~ 공복 유산소를 해본 적이 있는데 아침에 일어나 가지고"
"859","공복에 하니까 정말 힘들더라고","공복에 하니까 정말 힘들더라고"
"860","근데 그때 쫌 살을 빼야겠다는 그런 열망이 있었기 때문에 그~","근데 그때 조금 살을 빼야겠다는 그런 열망이 있었기 때문에 그~"
"861","다이어트를 열심히 했는디 한 오 일만에 ((진짜)) 딱 하루 일 키로씩 뺄 빠진 겨.","다이어트를 열심히 했는데 한 오 일만에 ((진짜)) 딱 하루 일 키로씩 뺄 빠진 거야."
"862","그래 가주고 와 이 다이어트 뭐지?","그래 가지고 와 이 다이어트 뭐지?"
"863","근데 내가 지금 내 동생이랑 다이어트 내기를 하고 있단 말이여.","근데 내가 지금 내 동생이랑 다이어트 내기를 하고 있단 말이야."
"864","그래 가주구 내일 오늘 부 사실 오늘부터는","그래 가지고 내일 오늘 부 사실 오늘부터는"
"865","오늘부터 공복 유산소를 할려고 했는디 음~ 오늘 늦잠 자버려 가주구 영 운동을 못 했으니까","오늘부터 공복 유산소를 하려고 했는데 음~ 오늘 늦잠 자버려 가지고 영 운동을 못 했으니까"
"866","내일부터 해 보려구","내일부터 해 보려구"
"867","그게 어떤 유산소 운동을 하면 되냐면은","그게 어떤 유산소 운동을 하면 되냐면은"
"868","((그냥)) 간단하게 뭐~ 싸이클 같은 거 헬스장에 있는 사이클을 타던지","((그냥)) 간단하게 뭐~ 싸이클 같은 거 헬스장에 있는 사이클을 타던지"
"869","아니면은 뭐~ 달리기 산책 같은 거를 쫌 숨차게 해야지 효과가 있더라구","아니면은 뭐~ 달리기 산책 같은 거를 조금 숨차게 해야지 효과가 있더라구"
"870","그래서 어~ 걷뛰걷뛰라고 하잖어?","그래서 어~ 걷뛰걷뛰라고 하잖어?"
"871","그~ 걷다가 뛰고 걷다가 뛰는데 그거를 한 한","그~ 걷다가 뛰고 걷다가 뛰는데 그거를 한 한"
"872","하루에 한 시간만 해도 글케 살이 잘 빠지더라고?","하루에 한 시간만 해도 그렇게 살이 잘 빠지더라고?"
"873","근데 한 시간이 쫌 말이 쉽지 쫌 힘들겠지만 그래도 사이클 타다가 런닝머신을 마지막에 뗘 주면은","근데 한 시간이 조금 말이 쉽지 조금 힘들겠지만 그래도 사이클 타다가 런닝머신을 마지막에 뛰어 주면은"
"874","쫌 생각보다 할만 하구 어~ ((효과가도)) 좋고 그게 가장 쉬운 다이어트 방법인","조금 생각보다 할만 하구 어~ ((효과가도)) 좋고 그게 가장 쉬운 다이어트 방법인"
"875","나도 너가 말한 거처럼 난 한 번도 이 걸 들어본 적이 없어.","나도 너가 말한 거처럼 난 한 번도 이 걸 들어본 적이 없어."
"876","공복 유산소?","공복 유산소?"
"877","이거에 ((대해서)) 들어본 적이 없어 가지고 나도 한 번 해보는 거에 의미를 가지고 진짜 한 번 도전해 볼게.","이거에 ((대해서)) 들어본 적이 없어 가지고 나도 한 번 해보는 거에 의미를 가지고 진짜 한 번 도전해 볼게."
"878","앞으로 뭐를 하기 전에 (()) 먹기 전에 아 한 번만 운동 해볼까 이렇게 하고 먹는 것도 괜찮을 거 같어.","앞으로 뭐를 하기 전에 (()) 먹기 전에 아 한 번만 운동 해볼까 이렇게 하고 먹는 것도 괜찮을 거 같아."
"879","너가 그렇게 효과를 많이 봤다고 하면은 나도 해보는 거 지금 엄청 솔깃해 가지구","네가 그렇게 효과를 많이 봤다고 하면은 나도 해보는 거 지금 엄청 솔깃해 가지구"
"880","내 메모에 적어 놔야 될 정도로 ((지짜)) 괜찮은 운동 방법인 거","내 메모에 적어 놔야 될 정도로 ((지짜)) 괜찮은 운동 방법인 거"
"881","나는 내가 했던 해 봤던 시도해 봤던 운동 중에","나는 내가 했던 해 봤던 시도해 봤던 운동 중에"
"882","그~ 어깨 여기 승모근 때문에 봤던 유투브 영상이 있단 말이여.","그~ 어깨 여기 승모근 때문에 봤던 유투브 영상이 있단 말이야."
"883","근데 그거를 진짜 한 이 삼 일만 했는데 엄청 그~ 살짝 그~ ((소닷)) 솟아 있던 그 승모근을 쫌","근데 그거를 진짜 한 이 삼 일만 했는데 엄청 그~ 살짝 그~ ((소닷)) 솟아 있던 그 승모근을 조금"
"884","약간 근육들을 운동하면서 그~ 땡겨지는 그 느낌이 시원해서 이 삼 일 정도 했던 거 같은데","약간 근육들을 운동하면서 그~ 땡겨지는 그 느낌이 시원해서 이 삼 일 정도 했던 거 같은데"
"885","짧은 기간이었음에도 불구하고 살짝 효과를 봤었던 경험","짧은 기간이었음에도 불구하고 살짝 효과를 봤었던 경험"
"886","그리고 진짜 짧은 영상인데","그리고 진짜 짧은 영상인데"
"887","일 분 삼십 초 안에 팔뚝살을 격파시켜 ((주x)) 만한 운동이 있단 말여.","일 분 삼십 초 안에 팔뚝살을 격파시켜 ((주x)) 만한 운동이 있단 말이야."
"888","근데 내가 저번에 급격하게 팔뚝살이 엄청 쪘어 가지고 한 번 운동을 했었는데 이게","근데 내가 저번에 급격하게 팔뚝살이 엄청 쪘어 가지고 한 번 운동을 했었는데 이게"
"889","일 분 삼십 촌데 처음 하는 거면 절대 일 분 삼십 초 동안 못 해.","일 분 삼십 촌데 처음 하는 거면 절대 일 분 삼십 초 동안 못 해."
"890","이게 삼십 초 삼십 초 삼십 초 운동 하는 건디 이게 진짜 힘들단 말여.","이게 삼십 초 삼십 초 삼십 초 운동 하는 건데 이게 진짜 힘들단 말이야."
"891","((그래서)) 내가 나는 나는 몇 번 해 봤으니께 동생이랑 엄마한테 시켜 봤는디","((그래서)) 내가 나는 나는 몇 번 해 봤으니까 동생이랑 엄마한테 시켜 봤는데"
"892","동생은 일 단계 하고 포기했고 엄마는 이 단계 하고 포기할 정도로 이게 진짜","동생은 일 단계 하고 포기했고 엄마는 이 단계 하고 포기할 정도로 이게 진짜"
"893","이 분이 되게 자극이 오는 부분 있을 거에요 라고 하는데 그게 십 초 만에 깨달어.","이 분이 되게 자극이 오는 부분 있을 거에요 라고 하는데 그게 십 초 만에 깨달어."
"894","그 정도로 진짜 팔뚝살을 ((조질)) 수 있는 그런 운동이어서 내가 한 번 내가 너한테 추천해 볼게.","그 정도로 진짜 팔뚝살을 ((조질)) 수 있는 그런 운동이어서 내가 한 번 내가 너한테 추천해 볼게."
"895","이게 진짜 나는 팔뚝살에 가장 운동 하는 데 자극을 진짜 많이 주는 운동이라고 생각 혀.","이게 진짜 나는 팔뚝살에 가장 운동 하는 데 자극을 진짜 많이 주는 운동이라고 생각 해."
"896","왜냐면 우리가 운동 하는데 시간도 투자해야 ((되xx)) 쫌 귀찮다는 생각을 하잖어.","왜냐하면 우리가 운동 하는데 시간도 투자해야 ((되xx)) 조금 귀찮다는 생각을 하잖어."
"897","그래 가지구 잠깐 핸드폰 노래 하나 하나 듣는 동안 그 운동을 하는 거면은","그래 가지구 잠깐 핸드폰 노래 하나 하나 듣는 동안 그 운동을 하는 거면은"
"898","되게 가성비가 있는 운동이라고 생각 혀.","되게 가성비가 있는 운동이라고 생각 해."
"899","아~ 그려?","아~ 그래?"
"900","나도 난중에 한 번 해봐야겠다.","나도 나중에 한 번 해봐야겠다."
"901","나도 이제 내가 진짜 급하게 찐 살이다 보니까 급하게 빼려구 요즘 계획을 세워 봤는디","나도 이제 내가 진짜 급하게 찐 살이다 보니까 급하게 빼려구 요즘 계획을 세워 봤는데"
"902","내가 우선 내일부터 할 거는 우선 건강을 위해서 아침에 일어나자마자 양치를 우선 해.","내가 우선 내일부터 할 거는 우선 건강을 위해서 아침에 일어나자마자 양치를 우선 해."
"903","그르고 물을 따뜻한 물을 한 잔 마셔.","그리고 물을 따뜻한 물을 한 잔 마셔."
"904","그래 가주구 헬스장에 헬스장 안 되면은 뭐~ 산책이라도 나가 가주구","그래 가지고 헬스장에 헬스장 안 되면은 뭐~ 산책이라도 나가 가지고"
"905","어~ 공복 유산소를 하는 거여.","어~ 공복 유산소를 하는 거야."
"906","그래 가주구 집에 와 가주구 아침에 바로 먹지 않고 내가 간혈적 단식을 하려고 노력하고 있기 때문에","그래 가지고 집에 와 가지고 아침에 바로 먹지 않고 내가 간혈적 단식을 하려고 노력하고 있기 때문에"
"907","어~ 아침 해독 주스를 마셔 가주구 우선 변을 빼주구","어~ 아침 해독 주스를 마셔 가지고 우선 변을 빼주구"
"908","간혈적 단식을 하려면은 열한 시부터 먹는 게 적당하단 말이여.","간혈적 단식을 하려면은 열한 시부터 먹는 게 적당하단 말이야."
"909","그래 가주구 한 여덟 시쯤에 일어나 가주구 운동하고 뭐~ 열한 시에 딱 첫 끼를 먹으면은","그래 가지고 한 여덟 시쯤에 일어나 가지고 운동하고 뭐~ 열한 시에 딱 첫 끼를 먹으면은"
"910","아주 좋은 습관이 개선 될 거 같애.","아주 좋은 습관이 개선 될 거 같아."
"911","그리고 이제 자기 전에 어~ 핸드폰을 하지 않구","그리고 이제 자기 전에 어~ 핸드폰을 하지 않구"
"912","그냥 노래라도 들으면서 잠을 들을려는 노력을 이제부터 해 보려구","그냥 노래라도 들으면서 잠을 들려는 노력을 이제부터 해 보려구"
"913","나도 건강을 위해서라면은 뭐라도 좀 해야 될 거 같어.","나도 건강을 위해서라면은 뭐라도 좀 해야 될 거 같아."
"914","그리고 다이어트 하는 이제 우리가 한다고 하니까 나는 추천하는 거는","그리고 다이어트 하는 이제 우리가 한다고 하니까 나는 추천하는 거는"
"915","진짜 목표를 거대하게 잡지 않는 걸 추천해.","진짜 목표를 거대하게 잡지 않는 걸 추천해."
"916","그리고 장기간으로 봐야하긴 하는데 우리는 단기간에 빨리 살을 빼고 싶어하잖어.","그리고 장기간으로 봐야하긴 하는데 우리는 단기간에 빨리 살을 빼고 싶어하잖어."
"917","그래 가지구 이왕 하는 운동 하루하루 목표를 잡을 때마다 이걸 이뤘을 때의 성취감을 위해서","그래 가지구 이왕 하는 운동 하루하루 목표를 잡을 때마다 이걸 이뤘을 때의 성취감을 위해서"
"918","나는 운동을 했을 때 그렇게 거하게 운동을 잡지 않았거든?","나는 운동을 했을 때 그렇게 거하게 운동을 잡지 않았거든?"
"919","오히려 이걸 다 하면 어 이것도 더 해볼까 해서 어 이것도 이뤘다 하는 성취감 두 배의 성취감을 위해서","오히려 이걸 다 하면 어 이것도 더 해볼까 해서 어 이것도 이뤘다 하는 성취감 두 배의 성취감을 위해서"
"920","처음에 목표를 많이 잡지 않았단 말여.","처음에 목표를 많이 잡지 않았단 말이야."
"921","그래서 예를 들면은 윗몸일으키기 ((그냥)) 삼십 개만 하기 이렇게만 하루에 딱 하나 만 이라도 정해놔도","그래서 예를 들면은 윗몸일으키기 ((그냥)) 삼십 개만 하기 이렇게만 하루에 딱 하나 만 이라도 정해놔도"
"922","어 ((괜찮xx)) 이래서 오히려 더 해 가지고 내가 설정해 해놓은 운동량에 비해 더 할 수 있어서","어 ((괜찮xx)) 이래서 오히려 더 해 가지고 내가 설정해 해놓은 운동량에 비해 더 할 수 있어서"
"923","생각보다 이 심리적 효과도 중요한 거 같어.","생각보다 이 심리적 효과도 중요한 거 같아."
"924","근데 건강을 위해서는 하루 루틴이 중요하다고 하잖어.","근데 건강을 위해서는 하루 루틴이 중요하다고 하잖어."
"925","근데 내가 어~ 수능 끝나고서 진짜 쓰 그지 같은 삶을 살고 있잖나?","근데 내가 어~ 수능 끝나고서 진짜 쓰 거지 같은 삶을 살고 있잖나?"
"926","그래서 맨날 새벽 여섯 시에 자고 오후에 일어나 가주구 또 넷플릭스 보다가","그래서 맨날 새벽 여섯 시에 자고 오후에 일어나 가지고 또 넷플릭스 보다가"
"927","또 또 뭐 먹구 자구 먹구 자구 싸구 먹구 자구 싸구 밖에 안 하는 인생인데","또 또 뭐 먹구 자구 먹구 자구 싸구 먹구 자구 싸구 밖에 안 하는 인생인데"
"928","내가 건강을 위해서 하루 루틴을 쫌 바꿔 볼려고 하거든","내가 건강을 위해서 하루 루틴을 조금 바꿔 보려고 하거든"
"929","그래 가주구 내일부터는 약간","그래 가지고 내일부터는 약간"
"930","어~ ((아)) 밤 꼭 밤에 자고 아침에 일어나 볼려는디","어~ ((아)) 밤 꼭 밤에 자고 아침에 일어나 보려는데"
"931","음~ 너도 한 번 난중에 같이 해 볼려?","음~ 너도 한 번 나중에 같이 해 볼래?"
"932","나도 건강이 진짜 안 좋은 생활 중에 이제 수험 생활 끝났다고 낮밤이 지대로 바뀐 거여.","나도 건강이 진짜 안 좋은 생활 중에 이제 수험 생활 끝났다고 낮밤이 제대로 바뀐 거야."
"933","그래 가주고 나도 진짜 쫌 ((침에)) 좀 일어나야 된다고 생각 혀.","그래 가지고 나도 진짜 조금 ((침에)) 좀 일어나야 된다고 생각 해."
"934","오히려 해 뜨면 자고 달 뜨면 ((xx나고)) 약간 이런 느낌이어 가주고","오히려 해 뜨면 자고 달 뜨면 ((xx나고)) 약간 이런 느낌이어 가지고"
"935","바 낮밤이 지대로 바뀌니까 가족들 간의 소통이 전혀 없어진 거여.","바 낮밤이 제대로 바뀌니까 가족들 간의 소통이 전혀 없어진 거야."
"936","가족들 ((슬슬)) 자러 가 갈 때 쯤 난 혼자 아침 겸 저녁을 먹고 -있- 있고 이릏다 보니까","가족들 ((슬슬)) 자러 가 갈 때 쯤 난 혼자 아침 겸 저녁을 먹고 -있- 있고 이렇다 보니까"
"937","가족들 간에 왕래도 진짜 적어지고 ((그리고)) 밤이다 보면 내가 나가서 뭘 할 수가 없잖아.","가족들 간에 왕래도 진짜 적어지고 ((그리고)) 밤이다 보면 내가 나가서 뭘 할 수가 없잖아."
"938","그래서 할 일을 엄청 미루게 되다 보니께 ((그래서)) 최대한 밤낮을 바꾸고","그래서 할 일을 엄청 미루게 되다 보니까 ((그래서)) 최대한 밤낮을 바꾸고"
"939","나도 처 너가 말한 거처럼 공복 유산소 운동에 지금 엄청 솔깃하기 때문에","나도 처 너가 말한 거처럼 공복 유산소 운동에 지금 엄청 솔깃하기 때문에"
"940","한 번 해 보려고 노력해야 될 거 같어.","한 번 해 보려고 노력해야 될 거 같아."
"941","그려?","그래?"
"942","그름 우리 난중이 아니라 우리 내일부터 같이 챌린지 형식으로 한 번","그럼 우리 나중이 아니라 우리 내일부터 같이 챌린지 형식으로 한 번"
"943","아침에 일어나자마자 인증하고 공복 유산소하고 인증하고","아침에 일어나자마자 인증하고 공복 유산소하고 인증하고"
"944","이런 식으로 한 번 해보는 건 어뗘?","이런 식으로 한 번 해보는 건 어때?"
"945","나는 운동도 진짜 재미있게 해야 효과가 있는 것 같다고 생각한단 말여.","나는 운동도 진짜 재미있게 해야 효과가 있는 것 같다고 생각한단 말이야."
"946","그래 가지구 친구들이랑 같이 하면은 진짜 효과가 있을 것 같어.","그래 가지구 친구들이랑 같이 하면은 진짜 효과가 있을 것 같아."
"947","우리가 딱 집 중간 집이 있으면은","우리가 딱 집 중간 집이 있으면은"
"948","그~ 딱 중간 지점까지 만나서 같이 뛰어온다던지 그릏게서 바통 터치하고 집까지 다시 뛰어 간다던지","그~ 딱 중간 지점까지 만나서 같이 뛰어온다던지 그렇게 해서 바통 터치하고 집까지 다시 뛰어 간다던지"
"949","이런 식으로 운동하면은 친구랑 같이 운동을 하면은 나는 훨씬 더 좋을 것 같다고 생각 혀.","이런 식으로 운동하면은 친구랑 같이 운동을 하면은 나는 훨씬 더 좋을 것 같다고 생각 해."
"950","왜냐면 아침에 진짜 엄청 뛰어 가지고 운동하고 집으로 오고 씻고 하면은","왜냐하면 아침에 진짜 엄청 뛰어 가지고 운동하고 집으로 오고 씻고 하면은"
"951","진짜 정말 상쾌하게 하루를 보낸 시작하는 스타트인 거 같아 가지고","진짜 정말 상쾌하게 하루를 보낸 시작하는 스타트인 거 같아 가지고"
"952","너랑 같이 운동을 한 번 해보는 것도 괜찮은 거 같어.","너랑 같이 운동을 한 번 해보는 것도 괜찮은 거 같아."
"953","나는 당장이라도 실천해야 될 거 같은 욕구가 뿜뿜하고 있슈.","나는 당장이라도 실천해야 될 거 같은 욕구가 뿜뿜하고 있어요."
"954","우리 딱 마침 중간에 태미 공원이 있으니까 아침에 만나서 뗘 보는 건 어뗘?","우리 딱 마침 중간에 태미 공원이 있으니까 아침에 만나서 뛰어 보는 건 어때?"
"955","진짜 이거 ((진짜)) 정말 좋은 생각인 거 같애.","진짜 이거 ((진짜)) 정말 좋은 생각인 거 같아."
"956","그래 가주고 내일 아침에 진짜 한 여덟 시 늦어도 여덟 시에 일어나 가주고","그래 가지고 내일 아침에 진짜 한 여덟 시 늦어도 여덟 시에 일어나 가지고"
"957","너무 늦은가?","너무 늦은가?"
"958","여덟 시에 일어나 가주구 어~ 태미 공원까지 만나 가주구","여덟 시에 일어나 가지고 어~ 태미 공원까지 만나 가지고"
"959","뭐~ 뛰던지 산책이라도 하면은 좋은 거니까 몸을 움직여야 돼.","뭐~ 뛰던지 산책이라도 하면은 좋은 거니까 몸을 움직여야 돼."
"960","그러니까 우리 내일부터 태미 공원에서 만나 가주구 한 번 해 보자구","그러니까 우리 내일부터 태미 공원에서 만나 가지고 한 번 해 보자구"
"961","그리구 나는 너가 운동하기 전에 꼭 했으면 하는 게 나는 진짜 스트레칭을 하고 뛰는 걸 (())","그리구 나는 너가 운동하기 전에 꼭 했으면 하는 게 나는 진짜 스트레칭을 하고 뛰는 걸 (())"
"962","스트레칭을 -하- 하고 뛰는 거를 추천 혀.","스트레칭을 -하- 하고 뛰는 거를 추천 해."
"963","왜냐면은 스트레칭을 안 하고 진짜 일어나자마자 뛴 경험이 내가 있단 말여.","왜냐하면은 스트레칭을 안 하고 진짜 일어나자마자 뛴 경험이 내가 있단 말이야."
"964","내가 학교를 빨리 가야 하는 상황인디 내가 학교 수험표를 받으러 갔어야 했는디","내가 학교를 빨리 가야 하는 상황인데 내가 학교 수험표를 받으러 갔어야 했는데"
"965","그걸 늦어 가지고 선생님의 전화를 받자마자 학교까지 전력 질주를 했단 말여.","그걸 늦어 가지고 선생님의 전화를 받자마자 학교까지 전력 질주를 했단 말이야."
"966","근데 이렇게 하고 내가 그 뒤로 이 삼 일을 진짜 고생했어.","근데 이렇게 하고 내가 그 뒤로 이 삼 일을 진짜 고생했어."
"967","왜냐면은 몸이 {laughing} 알이 지대로 배겨 가주고 진짜 몸을 못 움직이겠는 거여.","왜냐하면은 몸이 {laughing} 알이 제대로 배겨 가지고 진짜 몸을 못 움직이겠는 거야."
"968","그래 가주고 운동을 하기 전에 진짜 스트레칭을 해 가지고 자느라 진짜","그래 가지고 운동을 하기 전에 진짜 스트레칭을 해 가지고 자느라 진짜"
"969","근육도 같이 자고 있으니까 그~ 몸을 좀 깨워 주는 것도 일종의 운동이라고 생각하기 때문에","근육도 같이 자고 있으니까 그~ 몸을 좀 깨워 주는 것도 일종의 운동이라고 생각하기 때문에"
"970","뛰기 전에 꼭 스트레칭을 하고 뛰는 거를 추천 혀.","뛰기 전에 꼭 스트레칭을 하고 뛰는 거를 추천 해."
"971","아니 나도 그걸 겪어본 적이 있는 게 내가 작년 시험 시험 날에 밤을 새고 씻고서","아니 나도 그걸 겪어본 적이 있는 게 내가 작년 시험 시험 날에 밤을 새고 씻고서"
"972","아~ 학교 가기 나가기 전에 너무 시간이 많이 남았으니까 쫌 누워볼까 했는데 한 시간을 자버린 ((거))","아~ 학교 가기 나가기 전에 너무 시간이 많이 남았으니까 조금 누워볼까 했는데 한 시간을 자버린 ((거))"
"973","여덟 아~ 일곱 시 오십오 분에 일어난 거야.","여덟 아~ 일곱 시 오십오 분에 일어난 거야."
"974","학교까지는 십오 분이 걸리는데 그~ 성 그~ 그래 가주고 그름 여덟 시까지 가야 되는데","학교까지는 십오 분이 걸리는데 그~ 성 그~ 그래 가지고 그럼 여덟 시까지 가야 되는데"
"975","아~ 그래 가주구 선 그~ 딱 마지노선이 여덟 시 십 분이었기 때문에","아~ 그래 가지고 선 그~ 딱 마지노선이 여덟 시 십 분이었기 때문에"
"976","진짜 (()) 진짜 일어나자마자 바로 뛰쳐나가 가주구 어~ 그~ 언덕을 진짜 뛰어 올라간 적 있는디","진짜 (()) 진짜 일어나자마자 바로 뛰쳐나가 가지고 어~ 그~ 언덕을 진짜 뛰어 올라간 적 있는데"
"977","그때 그~ 시험 볼 때 진짜 집중이 {laughing} 안 ((되가)) 너무 숨이 차 가주구 집중이 안 되는 거여.","그때 그~ 시험 볼 때 진짜 집중이 {laughing} 안 ((되가)) 너무 숨이 차 가지고 집중이 안 되는 거야."
"978","그래서 진짜 아~(()) 뭐~ 쪼끔만 더 일찍 깼어도 뭐~ 준비하고 뗬을 수 있은 있었는데","그래서 진짜 아~(()) 뭐~ 쪼끔만 더 일찍 깼어도 뭐~ 준비하고 뛰었을 수 있은 있었는데"
"979","그래 가주구 이제 아~ 진짜 밤은 새지 말고 미리미리 공부해야 겠다 라는 교훈을 ((얻었)) 적이 적이 있어.","그래 가지고 이제 아~ 진짜 밤은 새지 말고 미리미리 공부해야 겠다 라는 교훈을 ((얻었)) 적이 적이 있어."
"980","(()) 진짜 우리가 밤을 새면 안되는 이유가 우리가 이제 우리가","(()) 진짜 우리가 밤을 새면 안되는 이유가 우리가 이제 우리가"
"981","지금부터 앞으로 매일 매일 이렇게 평화롭게 하루를 보낼 수 없잖어.","지금부터 앞으로 매일 매일 이렇게 평화롭게 하루를 보낼 수 없잖어."
"982","언젠가는 우리의 생활 리듬을 아침엔 일어나고 밤에는 자야 하는 그런 생활 리듬을 맞춰야 하잖어.","언젠가는 우리의 생활 리듬을 아침엔 일어나고 밤에는 자야 하는 그런 생활 리듬을 맞춰야 하잖어."
"983","그래 가주구 그렇게 급작스럽게 바꾸면은 분명 힘들 테니까 슬슬 바꿔야 한다고 생각 혀.","그래 가지고 그렇게 급작스럽게 바꾸면은 분명 힘들 테니까 슬슬 바꿔야 한다고 생각 해."
"984","그래야 대학교 가서도 과제도 성실하게 할 수 있고 미루지 않구","그래야 대학교 가서도 과제도 성실하게 할 수 있고 미루지 않구"
"985","그리고 그르고 또 ((우리가지금)) 밤 늦게 매일 자잖어.","그리고 그리고 또 ((우리가지금)) 밤 늦게 매일 자잖어."
"986","그럴 때 내가 추천 하는 게 핸드폰 할거면 차라리 불을 켜고 핸드폰 하는 걸 정말 추천 혀.","그럴 때 내가 추천 하는 게 핸드폰 할거면 차라리 불을 켜고 핸드폰 하는 걸 정말 추천 해."
"987","안 그러면은 진짜 그~ 어두운데 그~ 핸드폰 하나에 집중하다 보면은 그~ 눈이 진짜","안 그러면은 진짜 그~ 어두운데 그~ 핸드폰 하나에 집중하다 보면은 그~ 눈이 진짜"
"988","안 좋게 때 안 좋아질 것 같기 때문에","안 좋게 때 안 좋아질 것 같기 때문에"
"989","불을 키고 차라리 핸드폰 하는 걸 추천 하구","불을 켜고 차라리 핸드폰 하는 걸 추천 하구"
"990","그리구 까먹고 불 켜고 자는 ((거x)) 진짜 추천하지 않어.","그리구 까먹고 불 켜고 자는 ((거x)) 진짜 추천하지 않어."
"991","그~ 눈이 우리가 잘 때 쉬잖아.","그~ 눈이 우리가 잘 때 쉬잖아."
"992","하루종일 떠져 있는 게 눈인데 그렇다 보니까","하루종일 떠져 있는 게 눈인데 그렇다 보니까"
"993","밤에 자는 데도 어둡지 않은 곳에서 자면은 눈이 진짜 안 좋더 안 ((좋다x)) 내가 기사를 봤단 말여.","밤에 자는 데도 어둡지 않은 곳에서 자면은 눈이 진짜 안 좋더 안 ((좋다x)) 내가 기사를 봤단 말이야."
"994","그래서 불 키고 핸드폰 하더라도","그래서 불 켜고 핸드폰 하더라도"
