"","jeju","seoul"
"1277","그렇지도 않은 것 같고","그렇지도 않은 것 같고"
"1278","그래서 이건 육 개월마다 엑스레이를 찍어야 돼예","그래서 이건 육 개월마다 엑스레이를 찍어야 돼요"
"1279","이 연골이 만약 그","이 연골이 만약 그"
"1280","저거 되불면","저거 되면"
"1281","대수술이랜마씨","대수술이래요"
"1282","이게","이게"
"1283","게문 다리가 이렇게 길이가 우리 좀 짝짝이기는 하지만 이게 좀","그럼 다리가 이렇게 길이가 우리 좀 짝짝이기는 하지만 이게 좀"
"1284","저같은","저같은"
"1285","운동하면 안되큰게","운동하면 안되겟네"
"1286","기니까 그 의사는 하는 말이 너는 수영이나 하고","그러니까 그 의사는 하는 말이 너는 수영이나 하고"
"1287","이 발목 무리하게 쓰는거 하면 안된다 하는데 야이","이 발목 무리하게 쓰는거 하면 안된다 하는데 얘"
"1288","태권도 좋아하지예","태권도 좋아하지요"
"1289","초등학교 때부터예","초등학교 때부터요"
"1290","그 뭣과 그 플로우볼예","그 뭐에요 그 플로우볼요"
"1291","마루에서 하는 그 하키 있잖아예 그거 선수하지예","마루에서 하는 그 하키 있잖아예 그거 선수하지요"
"1292","축구 그 마루에서 하는 그 축구 있잖아예 그 풋살","축구 그 마루에서 하는 그 축구 있잖아예 그 풋살"
"1293","밑에 층에서 뭐랜 안하느냐?","밑에 층에서 뭐라고 안하느냐?"
"1294","아 우리 집에서 하는거 아니고 학교강","아 우리 집에서 하는거 아니고 학교가서"
"1295","아 학교에서 하는거","아 학교에서 하는거"
"1296","풋살 할때 지금도","풋살 할때 지금도"
"1297","저 뭐냐 초등학교때 게난 그거 못 하게 해서마씨 나가","저 뭐냐 초등학교때 게난 그거 못 하게 했어요 나가"
"1298","그 선생님한테 다 곧고 겅해신디도","그 선생님한테 다 말하고 그랬는데도"
"1299","잘하니까","잘하니까"
"1300","경기 때문에라도 뛰라고","경기 때문에라도 뛰라고"
"1301","겅행 이 발목 보호대 있잖아예","그래서 이 발목 보호대 있잖아요"
"1302","몇개 사당그네예 그거행예","몇개 사다가 그거해서"
"1303","중학교강도 너 절대 축구부도 안되고","중학교강도 너 절대 축구부도 안되고"
"1304","뭐도 안되고 막 겅해신디","뭐도 안되고 막 그랬는데"
"1305","나 몰래 다 들어가지고","나 몰래 다 들어가지고"
"1306","선생님","선생님"
"1307","야물딱졈구나","야무지구나"
"1308","겅해그네 가이 육지","그래서 걔 육지"
"1309","원정 경기 그 선수 대회에 나갔다 오고","원정 경기 그 선수 대회에 나갔다 오고"
"1310","겅행 상받앙오고막","겅행 상받앙오고막"
"1311","초등학교 때?","초등학교 때?"
"1312","초등학교 때영 중학교 때영","초등학교 때랑 중학교 때랑"
"1313","지금?","지금?"
"1314","예 중학교 일 학년 때도","예 중학교 일 학년 때도"
"1315","그런데 겡 말리지도 못하고 너무 좋아하니까 말리지도 못하고","그런데 그래서 말리지도 못하고 너무 좋아하니까 말리지도 못하고"
"1316","그 대신 선생님한테 모든 걸 다 알리고","그 대신 선생님한테 모든 걸 다 알리고"
"1317","무리하면 안 되고 나중에","무리하면 안 되고 나중에"
"1318","이번 코로나때 뭐 나가지 않지?","이번 코로나때 뭐 나가지 않지?"
"1319","지금은 경기가 없주마씨 게니까 안하는데","지금은 경기가 없지요 그러니가 안하는데"
"1320","자기네들끼리 모영 연습해 겐 나가","자기네들끼리 모여서 연습해 그래서 나가"
"1321","스트레스 풀기 좋켜","스트레스 풀기 좋켜"
"1322","절대로 너는 하지 말라 그냥 보고만 와라","절대로 너는 하지 말라 그냥 보고만 와라"
"1323","겅하는데 자기는 그거를 보면","겅하는데 자기는 그거를 보면"
"1324","아이들이 막 못하는 걸 보면 화가 난다는거야","아이들이 막 못하는 걸 보면 화가 난다는거야"
"1325","자기가 팀을","자기가 팀을"
"1326","야이 공격수거든요","얘 공격수거든요"
"1327","수비수도 하고 골키도 해난마씨 야이","수비수도 하고 골키도 했어요 얘"
"1328","멋지구나 멋지게","멋지구나 멋지게"
"1329","야이 골키도해","야이 골키도해"
"1330","선생님이 너 골키 하기 너무 아까우난 넌","선생님이 너 골키 하기 너무 아까우니까 넌"
"1331","공격수 해야 한다 거기에 가지고 이제 막 저거하고","공격수 해야 한다 거기에 가지고 이제 막 저거하고"
"1332","어쨌든 미드필더 허리 야이가","어쨌든 미드필더 허리 얘가"
"1333","진짜 멋진 딸나져신게","진짜 멋진 딸낳았네"
"1334","아무튼 게가지고 가이 어저께 나한테 와그네 엄마나 복싱 가르켜","아무튼 그래가지고 걔 어저께 나한테 와그네 엄마나 복싱 가르켜"
"1335","복싱학원 보내달래 자기가","복싱학원 보내달래 자기가"
"1336","미쳤나 나가 막 겅해","미쳤나 나가 막 그렇게해"
"1337","왜 자기는 운동을 사랑하는 데 운동을 못하게 하냐고 그러니까","왜 자기는 운동을 사랑하는 데 운동을 못하게 하냐고 그러니까"
"1338","복싱하지 말고 너 그 뛰는거 하면 안되고","복싱하지 말고 너 그 뛰는거 하면 안되고"
"1339","막겅허고 이것도 안된다 저것도 안된다 겅햄땐하멍 나한테 막 뭐랭뭐랭핸","막그러고 이것도 안된다 저것도 안된다 그런다고 나한테 막 뭐라고 뭐라고 해서"
"1340","그게 그 얘기 했지 그게예 그 성인때까지 유지가 되면 그다음엔 괜찮대마씨그게예","그게 그 얘기 했지 그게예 그 성인때까지 유지가 되면 그다음엔 괜찮대요그게요"
"1341","그러니까 그때까지만 조심하랜 의사가 겅","그러니까 그때까지만 조심하라고 의사가 그렇게"
"1342","의사가 몇년 안남아신게","의사가 몇년 안남았네"
"1343","그니까 그 사이에 운동을예","그니까 그 사이에 운동을요"
"1344","과격하게 하면 안 되는 거 그거를 못하게 하잰 하니깐예","과격하게 하면 안 되는 거 그거를 못하게 하려고 하니깐예"
"1345","미치는 거라 야이는 자기는 운동 좋아하니까","미치는 거라 얘는 자기는 운동 좋아하니까"
"1346","너 게난 열아홉 살 넘어까지 괜찮으면 그때랑","너 그러니까 열아홉 살 넘어까지 괜찮으면 그때는"
"1347","운동하라 대학강","운동하라 대학가서"
"1348","그게 지금 한창 성장하는 때니까 겅햄신가","그게 지금 한창 성장하는 때니까 그러는가"
"1349","그예 자기예 그","그요 자기요 그"
"1350","게고예 승부욕도 이신아이라부난","그리고요 승부욕도 있는아이라서"
"1351","이거를 하면 완전","이거를 하면 완전"
"1352","누가 운동 좋아햄시니 니네","누가 운동 좋아하니 니네"
"1353","아니","아니"
"1354","우리 은영이 아빠도 겅허도  나도 겅허고 다","우리 은영이 아빠도 그러고 나도 그러고 다"
"1355","그 운동신경이 둔하지는 않아요 그런데 나는","그 운동신경이 둔하지는 않아요 그런데 나는"
"1356","이제 어른 되구 막 하면서 운동 할 일이 없잖아요 우리예","이제 어른 되구 막 하면서 운동 할 일이 없잖아요 우리요"
"1357","그러니깐 그래서 여자는 운동신경이 좀 둔해지는 것 닮아","그러니깐 그래서 여자는 운동신경이 좀 둔해지는 것 같아"
"1358","우리 옛날에 체육대회도 잘하고 해나신디","우리 옛날에 체육대회도 잘하고 햇었는데"
"1359","(())","(())"
"1360","(())","(())"
"1361","나도 체육대회때나 다 선수로 뛰어난 백미터","나도 체육대회때나 다 선수로 뛰어난 백미터"
"1362","사백 미터 계주 선수예 반","사백 미터 계주 선수요 반"
"1363","반선수","반선수"
"1364","너가 운동신경이 좋구나","너가 운동신경이 좋구나"
"1365","아니 우리 신랑이 더 좋아 우리 신랑 운동 잘해 배구 축구","아니 우리 신랑이 더 좋아 우리 신랑 운동 잘해 배구 축구"
"1366","예 베드민턴 탁구 이런거 다잘해","예 베드민턴 탁구 이런거 다잘해"
"1367","우리 아방이 잘해 큰아들이 잘하고 족은 아들은 못해 나닮안","우리 아방이 잘해 큰아들이 잘하고 작은 아들은 못해 나닮아서"
"1368","우리 아들은","우리 아들은"
"1369","신체적 조건이나 이런 건 다 너무 좋은데","신체적 조건이나 이런 건 다 너무 좋은데"
"1370","그렇게 막 운동예 -예-","그렇게 막 운동요 -예-"
"1371","그 열과 성의를 다하는 그런 승부욕은 없어요","그 열과 성의를 다하는 그런 승부욕은 없어요"
"1372","겅해도 키 너미 커부난","그래도 키 너무 커서"
"1373","초등학교 때부터 농구 학교 대표로","초등학교 때부터 농구 학교 대표로"
"1374","대표로나가고","대표로나가고"
"1375","중학교 때도 선생님이 하랜 하니까 야이 안하켄 해가지고","중학교 때도 선생님이 하라고 하니까 야이 안하겠다고 해가지고"
"1376","그럼 저거하고","그럼 저거하고"
"1377","암튼 그런데 가이도 운동을 싫어하지는 않허여","암튼 그런데 가이도 운동을 싫어하지는 않허여"
"1378","그런데","그런데"
"1379","이제 고이가?","이제 고이가?"
"1380","끝나면 너네","끝나면 너네"
"1381","다데령 올래길이라도 가면 좋켜이","다데리고 올래길이라도 가면 좋겠다"
"1382","당연하주마씨","당연하지요"
"1383","올레길도","올레길도"
"1384","올레길 걸어난다","올레길 걸어봤어?"
"1385","아이들도 전번에 아방 자기 생일 선물로 아이들보고 한라산","아이들도 전번에 아빠 자기 생일 선물로 아이들보고 한라산"
"1386","정상 가겐행 아니 갔다와수게","정상 가자고해서 아니 갓다왔잖아"
"1387","아방이영","아빠랑"
"1388","우리 아들 하는 말","우리 아들 하는 말"
"1389","산은 오르는가 아니고 밑에서 올려다 봐야 제일 좋음 멀리서 봐라","산은 오르는가 아니고 밑에서 올려다 봐야 제일 좋음 멀리서 봐라"
"1390","올라가는 거 아니랜","올라가는 거 아니라고"
"1391","그러면서갔다 와서","그러면서갔다 와서"
"1392","그말 딱 한마디 합디다","그말 딱 한마디 합디다"
"1393","딸도간?","딸도갔어?"
"1394","딸은 완전 잘해 잘해 그런거 좋아해 여","딸은 완전 잘해 잘해 그런거 좋아해 #여"
"1395","나중에 크면 아이영 올래길 걸어도 좋겨","나중에 크면 아이영 올래길 걸어도 좋겠다"
"1396","그럴 시간이 이제 이시카 모르쿠다 아이들이 다들","그럴 시간이 이제 이시카 모르쿠다 아이들이 다들"
"1397","나는 가길 바라니깐 나는예 그 공부 뭐 이런거 보다도","나는 가길 바라니깐 나는예 그 공부 뭐 이런거 보다도"
"1398","좀 제주도가 어 어쨌든 좀 좁잖아예 게난 넓은데 가그네 많이보고","좀 제주도가 어 어쨌든 좀 좁잖아요 그러니까 넓은데 가서많이보고"
"1399","배워시면 싶은 생각이 더 많이 들어마씨","배워시면 싶은 생각이 더 많이 들어요"
"1400","제주도 좁긴해 이","제주도 좁긴해 #이"
"1401","음 너무도 같이 있다 보니까 생각 자체도","음 너무도 같이 있다 보니까 생각 자체도"
"1402","그렇고 또 보는것도 많이 새로운 걸 봐야","그렇고 또 보는것도 많이 새로운 걸 봐야"
"1403","더 창의적이 되는데 제주도는","더 창의적이 되는데 제주도는"
"1404","몰라 예술가들한테는 영감을 불어넣어 주고 뭐어떤","몰라 예술가들한테는 영감을 불어넣어 주고 뭐어떤"
"1405","이런 자연이 좋을 지 몰라도 그냥 우리 일반","이런 자연이 좋을 지 몰라도 그냥 우리 일반"
"1406","이 사람들한테는 너무 우물 안 개구리마씨","이 사람들한테는 너무 우물 안 개구리에요"
"1407","게난 제주도에 내려와 그 장사하고","게난 제주도에 내려와 그 장사하고"
"1408","그 뭐하고 그 까페하고 한 사람들 다 육지사람 아니우꽈게","그 뭐하고 그 까페하고 한 사람들 다 육지사람 아니에요"
"1409","우린그","우린그"
"1410","제주도 사람어서","제주도 사람없어"
"1411","잘도 불쌍하더라","잘도 불쌍하더라"
"1412","응 맞아","응 맞아"
"1413","그꼭그","그꼭그"
"1414","그 가게들 그 꾸미는거 봅서게","그 가게들 그 꾸미는거 보세요"
"1415","게난이 인테리어 그창고에 그렇게","그러니까 인테리어 그창고에 그렇게"
"1416","우리 버리논 창고에 그걸 어떵 그걸 할생각할","우리 버려놓은 창고에 그걸 어떻게 그걸 할생각할"
"1417","그 미깡 창고들예","그 미깡 창고들요"
"1418","게난","그러니까"
"1419","너네 미깡 창고 잇지","너네 미깡 창고 잇지"
"1420","없수다만은","없는데요"
"1421","우리 미깡 창고 이신디 거긴 돌이 아니라라","우리 귤 창고 있는데 거긴 돌이 아니더라"
"1422","새맨트라","새맨트라"
"1423","아이 그 쌔맨으로 하잖아 언니 그냥","아이 그 시맨트로 하잖아 언니 그냥"
"1424","그냥 쌔맨으로 ","그냥 시맨트로"
"1425","쌔맨에다가","시맨트에다가"
"1426","세민에다가 그냥 허여","시맨트에다가 그냥 허여"
"1427","미깡 창고 이서 우리","미깡 창고 있어 우리"
"1428","그런데도 어디 막 그 길만","그런데도 어디 막 그 길만"
"1429","가게 왔다 갔다 하기 편하고 저거","가게 왔다 갔다 하기 편하고 저거"
"1430","대도로변이라 우리","대도로변이라 우리"
"1431","게민 완전 좋지마씨","그럼 완전 좋지요"
"1432","무신 나가 커피 내릴줄 졸바로 아느냐 빵을 만들줄 아느냐","무신 나가 커피 내릴줄 졸바로 아느냐 빵을 만들줄 아느냐"
"1433","댕깁서게","다니세요"
"1434","아우 안하켜게","아우 안할래"
"1435","무사","왜"
"1436","요번에 티비도 보난 성시경도 제빵사 자격증땁디다","요번에 티비도 보난 성시경도 제빵사 자격증땁디다"
"1437","장사는","장사는"
"1438","장사가 아니고 혼자 나하고 나의 친한 이웃들이","장사가 아니고 혼자 나하고 나의 친한 이웃들이"
"1439","사랑방처럼 놀러 왔다 갔다 하는 그런 것처럼","사랑방처럼 놀러 왔다 갔다 하는 그런 것처럼"
"1440","하는거주마씨게 겐 커피도 배우고 빵우고","하는거지요 그래서 커피도 배우고 빵우고"
"1441","커피 나 먹을 만큼만 빼문대","커피 나 먹을 만큼만 빼면되"
"1442","저거 (()) 나가 커피 맛있게 뺑갈게","저거 (()) 나가 커피 맛있게 빼면되"
"1443","겅합서","그렇세요"
"1444","건 잘행가저 보험병에 탁 담앙","건 잘하고 갈수잇어 보험병에 탁 담고"
"1445","아무튼 다 아는 언니도의 도자기도 하고예 ","아무튼 다 아는 언니도의 도자기도 하고요"
"1446","요번에 바리스타도 자격증 따서마씨","요번에 바리스타도 자격증 땃어요"
"1447","창업할수 있는","창업할수 있는"
"1448","언니는 나이 들주었만마씨","언니는 나이 들었지만요"
"1449","뭔가 배우래 댕기고 겅햄꾸나","뭔가 배우래 다니고 그러고있구나"
"1450","나 -도- 뭘배우러 다녀 목공","나 -도- 뭘배우러 다녀 목공"
"1451","기?","기?"
"1452","응","응"
"1453","솜씨들이 좋구나","솜씨들이 좋구나"
"1454","나솜씨 별로 안좋아","나솜씨 별로 안좋아"
"1455","난예 손이예 잼병 잼병","난요 손이요 잼병 잼병"
"1456","이거 다 나가 짜서","이거 다 나가 짯어"
"1457","어디도 뜨개질을 할 줄 알아마씨?","어디도 뜨개질을 할 줄 알아요?"
"1458","이건 누가 짱 줬고","이건 누가 짱 줬고"
"1459","이건 나가 짠","이건 나가 짯어"
"1460","진짜?","진짜?"
"1461","언니도 겅  손재주 이수과","언니도 그렇게 손재주 있어요"
"1462","게난 목도리도 하나 예쁜거 짜서","그러니까 목도리도 하나 예쁜거 짰어"
"1463","나 요번에 무사 마스크 목걸이","나 요번에 무사 마스크 목걸이"
"1464","인거 이거","인거 이거"
"1465","어 어","어 어"
"1466","이거 짠 거지","이거 짠 거지"
"1467","이거는 난 누가 선생님 같은 사람이 짱 나한테 준거","이거는 난 누가 선생님 같은 사람이 짱 나한테 준거"
"1468","좋겠다","좋겠다"
"1469","겡 이걸 나가 배워보잰해신디 ","그래서 이걸 나가 보려고했는데"
"1470","어려웡 못 배우크라","어려워서 못 배우겠어"
"1471","쉬운 거 가르켜 달랜하난 난 그거 가르켜줜","쉬운 거 가르켜 달라고 하니까 난 그거 가르쳐줬어"
"1472","겡 그거 겅행 떠그네 주변에","그래서 그거 그러고 떠서 주변에"
"1473","하나씩 나눈거라마씨","하나씩 나눈거레요"
"1474","이제는 눈도 안 배연예","이제는 눈도 안 보여서요"
"1475","그런데 이게 좋은 점이 하나가 뭐냐 하면","그런데 이게 좋은 점이 하나가 뭐냐 하면"
"1476","잡생각이 안 듭디다","잡생각이 안 듭디다"
"1477","이거 하나만 오로지","이거 하나만 오로지"
"1478","나가 이","나가 #이"
"1479","뜨개질을 많이핸 중간에","뜨개질을 많이 했어 중간에"
"1480","난생 처음 태어낭이","난생 처음 태어나서"
"1481","옛날 김선생 잘해나서서 뜨게질","옛날 김선생 잘했었어 뜨게질"
"1482","잘해 거기","잘해 거기"
"1483","근데 나도 막 그런 봐나도 나도 내가 하고 싶은 마음이 없어난게","근데 나도 막 그런 봤어요 나도 내가 하고 싶은 마음이 없었어"
"1484","그런데 작년에 많이 했거든","그런데 작년에 많이 했거든"
"1485","눈 나 가볼지","눈 나 가볼지"
"1486","이 어깨 손","이 어깨 손"
"1487","다 안 되겠더라고 이게 물리치료까지 받안 딱 끊었어","다 안 되겠더라고 이게 물리치료까지 받아서 딱 끊었어"
"1488","취미는 있어야한다 취미는 저 뭐(게)/(#게) 나취미 너뭐고?","취미는 있어야한다 취미는 저 뭐(게)/(#게) 나취미 너뭐고?"
"1489","난 취미가 어서","난 취미가 어서"
"1490","난그냥 글쓰는거","난그냥 글쓰는거"
"1491","난 딱히 취미없고예 그냥 수영 좋아하고예 나얘","난 딱히 취미는 없ㅇ고요 그냥 수영 좋아하고요 나요"
"1492","나 물 좋아하니까","나 물 좋아하니까"
"1493","물 좋아하니까 수영 좋아하고 나는","물 좋아하니까 수영 좋아하고 나는"
"1494","그 다음에","그 다음에"
"1495","이제는 이제는 못 하는데 예전에 노래 부르는 것도 잘도 좋아했거든예","이제는 이제는 못 하는데 예전에 노래 부르는 것도 잘도 좋아햇거든요"
"1496","노래도 많이 불렀습니다","노래도 많이 불렀습니다"
"1497","노래 부르는 것도 좋아한다","노래 부르는 것도 좋아한다"
"1498","나 작년에 합창반활동도","나 작년에 합창반활동도"
"1499","불교?","불교?"
"1500","(())","(())"
"1501","하다 말안","하다 말았어"
"1502","지금도 우리 그","지금도 우리 그"
"1503","성당에서는 하지","성당에서는 하지"
"1504","성당에서 하는 아니 성당에서 하는 그","성당에서 하는 아니 성당에서 하는 그"
"1505","연합 그 합창단이 하나 이서마씨 거기우리 친구들 있거든에","연합 그 합창단이 하나 있거든요 거기우리 친구들 있거든요"
"1506","오랜해 나한테 같이 취미로 하겐","오라고해 나한테 같이 취미로 하자고"
"1507","목소리 나간나 이제","목소리 나간나 이제"
"1508","목소리 옛날에 완전 쩌렁쩌렁 좋았네","목소리 옛날에 완전 쩌렁쩌렁 좋았잖아"
"1509","그때 너무 쩌렁쩌렁해부난 이제 다나간 없져","그때 너무 쩌렁쩌렁해서 이제 나가서 없다"
"1510","{laughing}","{laughing}"
"1511","옛날에 소프라노 했었거든예","옛날에 소프라노 햇었거든요"
"1512","게네막 나가 목소리 좋댄해가멍","그래서막 나가 목소리 좋다면서"
"1513","솔로 솔로 하랜하멍 막 해신디","솔로 솔로 하라고 하면서 막 했는데"
"1514","떨령못핸","떨려서 못해"
"1515","글 쓰는 게 제일 좋은 게","글 쓰는 게 제일 좋다"
"1516","자기의 각자","자기의 각자"
"1517","게난 나도 요세 그 생각은해","구랴소 나도 요세 그 생각은해"
"1518","취미로 늙어지면 할거를 나도하나","취미로 늙어지면 할거를 나도하나"
"1519","해야 되겠다 그 생각을 들어마씨","해야 되겠다 그 생각을 들어요"
"1520","책을 못 읽으크라","책을 못 읽겟어"
"1521","눈이 점점 안좋아져 또 이","눈이 점점 안좋아져 또 #이"
"1522","집중이 안 되맨 한 줄 읽고 딴생각나 두줄읽어 딴생각나","집중이 안 되 한 줄 읽고 딴생각나 두줄읽어 딴생각나"
"1523","아니 근데 요번에 언니가 준 소설책들은 재미져가지고","아니 근데 요번에 언니가 준 소설책들은 재미져가지고"
"1524","금방","금방"
"1525","금방 읽언","금방 읽었어"
"1526","좋았지","좋았지"
"1527","나 뭐줘니?","나 뭐줘니?"
"1528","재미젼","재미졋어"
"1529","아 그때 그 -일기같이- 일기 같은 거여신디 그할머니","아 그때 그 -일기같이- 일기 같은 거였는데 그할머니"
"1530","(()) 세상","(()) 세상"
"1531","일기 같은 거였고 또 하나는 단편집으로 된거여신디","일기 같은 거였고 또 하나는 단편집으로 된거였는데"
"1532","그것도 좋았고","그것도 좋았고"
"1533","나는 그런 나는 얘 내가 수필 같은 거 좋아하는 것 같아 어닌","나는 그런 나는 얘 내가 수필 같은 거 좋아하는 것 같아 어닌"
"1534","소설도 좋아하지만 수필도 좋아하고 추리소설 같은 것도 좋아","소설도 좋아하지만 수필도 좋아하고 추리소설 같은 것도 좋아"
"1535","나는 글쓰기 모임 독서 모임도 있져","나는 글쓰기 모임 독서 모임도 있아"
"1536","코로나 때문에 시들해져신디 독서모임에서","코로나 때문에 시들해졌는데  독서모임에서"
"1537","간단한 쉬운 책으로 먼저 시작했주게","간단한 쉬운 책으로 먼저 시작했주게"
"1538","근디 작정인 만난 사람들인데","근디 작정인 만난 사람들인데"
"1539","어려운 책을 한번 읽어봐야 할거는 지금까지 못 읽은 책을","어려운 책을 한번 읽어봐야 할거는 지금까지 못 읽은 책을"
"1540","코스모스를 해서","코스모스를 해서"
"1541","너미 어려워","너무 어려워"
"1542","다빠져나가 부는디","다빠져나가 버리는데"
"1543","나가 그 -대표- 대표라기보다도 대장이라","나가 그 -대표- 대표라기보다도 대장이라"
"1544","다 빠져 나가불맨","다 빠져 나가버려"
"1545","(())","(())"
"1546","아니","아니"
"1547","따라오는 사람 꾸역꾸역 따라오는 사람 네명 꾸역꾸역","따라오는 사람 꾸역꾸역 따라오는 사람 네명 꾸역꾸역"
"1548","나머지는 막 빠져나오고 결석을 해불맨 아예","나머지는 막 빠져나오고 결석을 해불맨 아예"
"1549","진짜(이)/(#이)","진짜(이)/(#이)"
"1550","어려워부난게 ","어려워서"
"1551","이제는 머리 복잡하고예","이제는 머리 복잡하고요"
"1552","해골 삥삥 돌아가는 거 싫주게","해골 삥삥 돌아가는 거 싫지"
"1553","나 혼자는 죽어도 못 읽는디","나 혼자는 죽어도 못 읽는데"
"1554","의무적으로 같이 읽으면 읽어주게","의무적으로 같이 읽으면 읽어지거든"
"1555","아 그렇긴 하지","아 그렇긴 하지"
"1556","그 무사 예전에 티브이에서","그 왜 예전에 티브이에서"
"1557","그 책을 읽어드립니다 해 가지고","그 책을 읽어드립니다 해 가지고"
"1558","나왔었잖아예 그때 그 책들을 소개해주고 막 겅할때","나왔었잖아요 그때 그 책들을 소개해주고 막 그럴대"
"1559","너무 좋더라고마시 나그거","너무 좋더라고요 나그거"
"1560","누가 해시 그저","누가 했냐 그저"
"1561","설민석이가 줄거리 설명하고","설민석이가 줄거리 설명하고"
"1562","이적이영 전현무영","이적이랑 전현무랑"
"1563","여자아이영 또 그다음 학자들","여자아이랑 또 그다음 학자들"
"1564","계속 바꿔가면서","계속 바꿔가면서"
"1565","그거 끝나사?","그거 끝났어?"
"1566","그건 이제 안하는걸로 알아","그건 이제 안하는걸로 알아"
"1567","우리 딸래미가 요번에 보니까 유투브로 그거 아마 그","우리 딸래미가 요번에 보니까 유투브로 그거 아마 그"
"1568","방영되는게 있나봐예 그래서 엄마 이거 너무 재밌댄 하면서 자기 이거 봄땐 하멍","방영되는게 있나봐요 그래서 엄마 이거 너무 재밌다고 하면서 자기 이거 본다고 하면서"
"1569","진짜 책 잘 안 읽거든예","진짜 책 잘 안 읽거든요"
"1570","겡 나가 책좀 읽으라 막 경해그네 요번에 티비에서도 그","겡 나가 책좀 읽으라 막 경해그네 요번에 티비에서도 그"
"1571","(())인 가 하는데 거기에 그 우렁각시라는 사람이 나오니까","(())인 가 하는데 거기에 그 우렁각시라는 사람이 나오니까"
"1572","왜 저 사람이 우렁각시냐 그까 우렁각시 전래동화 몰라? 겅하니까 모른데","왜 저 사람이 우렁각시냐 그까 우렁각시 전래동화 몰라? 그러니까 모른데"
"1573","누가 안 읽어주난 몰람주","누가 안 읽어주니까 모르지"
"1574","게난 야","그러니까 야"
"1575","너 책좀 보라","너 책좀 보라"
"1576","(())","(())"
"1577","장화 홍련예 우리 옛날에 무사 여우 누이전 막 이런 것들 있었잖아마씨","장화 홍련요 우리 옛날에 무사 여우 누이전 막 이런 것들 있었잖아요"
"1578","흥부놀부","흥부놀부"
"1579","진짜 그런 것들나는 어렸을때예","진짜 그런 것들나는 어렸을때요"
"1580","엄청 많이 봤거든마씨","엄청 많이 봤거든요"
"1581","우린","우린"
"1582","난 그것도 많이 보고 나는","난 그것도 많이 보고 나는"
"1583","책이 많이 어시난 그런 책들만 주로","책이 많이 없으니까 그런 책들만 주로"
"1584","만화책도 많이 봤지만 그런 것도 봤고 나 초등학교 때는 대부분","만화책도 많이 봤지만 그런 것도 봤고 나 초등학교 때는 대부분"
"1585","그 개인문고 계몽사","그 개인문고 계몽사"
"1586","그 저 뭐냐 셜록","그 저 뭐냐 셜록"
"1587","그 탐정 추리소설","그 탐정 추리소설"
"1588","시리즈로 읽는걸 전부다","시리즈로 읽는걸 전부다"
"1589","나도 다봐서","나도 다봤어"
"1590","전부 다 읽고 거기는 이제 중학생 되고 하니까 그때부터 좀 어려운 거","전부 다 읽고 거기는 이제 중학생 되고 하니까 그때부터 좀 어려운 거"
"1591","수레바퀴 밑에서 데미안 에 이런 것들","수레바퀴 밑에서 데미안 에 이런 것들"
"1592","그런 좀 그런 것들을 읽엇거든예","그런 좀 그런 것들을 읽엇거든예"
"1593","난 안읽었지","난 안읽었지"
"1594","겅 하니깐 우리 딸내미 우리 아들내미예 나가예","그러니까 하니깐 우리 딸내미 우리 아들내미요 내가요"
"1595","겅 애기때 도 책읽어주고 해신디도예 책안읽어","그렇게 애기때 도 책읽어주고 했는데요 책안읽어"
"1596","요즘은 책 안읽어?","요즘은 책 안읽어?"
"1597","응","응"
"1598","그 아이는 어렸을 때 심지어 그전래동화 시디랑 그","그 아이는 어렸을 때 심지어 그전래동화 시디랑 그"
"1599","외국동화시디를 다 사서 밤에 내가 못 읽어주면 우리 그거 틀어그네 예","외국동화시디를 다 사서 밤에 내가 못 읽어주면 우리 그거 틀어그네 요"
"1600","이 책장 넘기멍 듣기도 하고","이 책장 넘기면서 듣기도 하고"
"1601","또 그다음에 나가","또 그다음에 나가"
"1602","동화책을 다 읽어 주기도 하고 겅했거든예","동화책을 다 읽어 주기도 하고 겅했거든예"
"1603","그런데 기억 하는지도 모르~","그런데 기억 하는지도 모르~"
"1604","너무 애기여부난 그런건가","너무 애기라거 그런건가"
"1605","놀거리가 너무 많주게","놀거리가 너무 많지"
"1606","휴대폰도","휴대폰도"
"1607","놀거리가 너무 많아","놀거리가 너무 많아"
"1608","그래 이제","그래 이제"
"1609","우리 아들은 군대 간 많이 읽었대 놀거리 어시난 아무것도","우리 아들은 군대 간 많이 읽었대 놀거리 없으니까 아무것도"
"1610","시간을 보낼 게 없어얘","시간을 보낼 게 없어얘"
"1611","컴퓨터 그때 안돼 노트북 핸드폰","컴퓨터 그때 안돼 노트북 핸드폰"
"1612","지금 휴대폰도 가졍가지잖아","지금 휴대폰도 가져갈수 있잖아"
"1613","중간에 휴대폰 하게 만들언 그때부터 책을 아무도 안읽어","중간에 휴대폰 하게 만들었어 그때부터 책을 아무도 안읽어"
"1614","기","기"
"1615","그리고 이제는 여섯시 이후에 그러니까 일과가 끝나면","그리고 이제는 여섯시 이후에 그러니까 일과가 끝나면"
"1616","그때부터 휴대폰 다시 돌려준대","그때부터 휴대폰 다시 돌려준대"
"1617","자기는 다 그렇잖아요","자기는 다 그렇잖아요"
"1618","우리아들 겅햄실거라","우리아들 그러고 잇을거야"
"1619","여섯시 반에 통화 아무대나 되","여섯시 반에 통화 아무대나 되"
